id,name,profession,rarity,element,base_hp,base_atk,base_def,description,bonus_1,bonus_2,bonus_3
1001,维多利亚,私人银行家,SSR,暗,1206,209,91,作为私人银行家，手中把玩金币，脚下踩着资产曲线。吸引点：绝对冷静、上位者姿态、对平凡的好奇。战斗方式：技能(资源对撞、情绪剥离、架构设计)，被动：金币掉落加成,max_hp,dodge_rate,death_delivery
1002,艾达,科技巨头CSO,SSR,火,1189,127,61,作为科技巨头CSO，身上插满光缆，面部被全息屏幕遮挡。吸引点：极高智力密度、超越时代的视野、刻薄感。战斗方式：技能(算法逻辑、前瞻布道、高压谈判)，被动：护盾自动再生,battle_frenzy,crit_rate,crit_dmg
1003,奥菲利亚,基金会理事,SSR,水,1258,177,63,作为基金会理事，周围环绕名画框，踩着高奢红毯。吸引点：几代人的优雅、举重若轻、精致的傲慢。战斗方式：技能(社交礼仪、艺术评估、身价判断)，被动：控制技能减免,death_delivery,atk_base,revive
1004,尤斯蒂蒂亚,大法官,SSR,风,913,207,64,作为大法官，被束缚的公正女神蒙眼布，身负铁链。吸引点：公正无私的神性、威压感、规则的化身。战斗方式：技能(绘制天平作为盾牌，挥舞审判锤进行大范围眩晕)，被动：真实伤害判定抗性加成,battle_frenzy,backpack_double,revive
1005,辛西娅,政客,SSR,光,1054,145,61,作为政客，多张面具在脸周旋转，手拿无墨之笔。吸引点：危险神秘感、玩弄规则、偶尔的理想主义。战斗方式：技能(在多重身份间切换进行骗局攻击（忽悠、背刺）)，被动：伤害反弹,crit_rate,backpack_double,max_hp
1006,罗莎琳德,制药研发负责人,SSR,暗,1376,233,75,作为制药研发负责人，背着装满绿色荧光液体的巨大罐子。吸引点：真理偏执、掌握生命源代码、严谨美学。战斗方式：技能(实验管理、高危毒气范围引爆、生命冷漠)，被动：毒素免伤且反噬,boss_killer,battle_frenzy,revive
1007,艾丽西娅,金牌刑辩律师,SR,火,1092,153,67,作为金牌刑辩律师，右手持发光录音笔，左手握着辩护假证。吸引点：侵略性魅力、灰暗地带的光、力量感。战斗方式：技能(弱点锁定（超高暴击率），语言反击)，被动：闪避后立刻反击,battle_frenzy,crit_dmg,death_delivery
1008,弗洛伦斯,心脏外科医生,SR,水,1478,255,97,作为心脏外科医生，身穿染血白大褂，周围漂浮心电图波动。吸引点：孤独使命感、神圣感、疲惫时的温柔。战斗方式：突脸近战(丢手术刀，精准打击（必中），造成大出血)，被动：造成伤害时伴随吸血,crit_rate,def_base,crit_dmg
1009,珂莱尔,艺术策展人,SR,风,1265,258,71,作为艺术策展人，脚踏高跟鞋，周围漂浮石膏雕像残骸。吸引点：极高品味、独特视角、精致与颓废并存。战斗方式：技能(审美变现、市场嗅觉、走钢丝平衡)，被动：幻觉免疫,dodge_rate,crit_rate,battle_frenzy
1010,缇娜,地产咨询顾问,SR,光,1210,290,97,作为地产咨询顾问，背负微缩楼盘模型，被钢筋束缚。吸引点：妥帖服务感、对欲望的观察、野心眼神。战斗方式：技能(心理博弈、共情伪装、规划储备)，被动：地形陷阱免伤,backpack_double,backpack_size,battle_frenzy
1011,林恩,大厂产品经理,SR,暗,1062,181,61,作为大厂产品经理，脑门上漂浮着需求进度条，狂按PPT点击器。吸引点：逻辑自洽、在混乱中建立秩序、成功后的松弛。战斗方式：技能(数据挖掘、多线程管理、寻找最优解)，被动：技能冷却缩减,revive,def_base,backpack_size
1012,普莉希拉,独立调查记者,SR,火,1377,218,66,作为独立调查记者，举着长枪短炮的报废设备，满身黑料卷宗。吸引点：孤勇者叛逆、风尘中的纯净、真相渴望。战斗方式：技能(信息溯源、快速信任、隐蔽闪光灯拍摄导致致盲)，被动：移速增加,backpack_size,max_hp,dodge_rate
1013,维罗妮卡,高级公关经理,SR,水,1126,279,61,作为高级公关经理，踩着碎玻璃，被无数微型麦克风指着。吸引点：风暴中心的从容、八面玲珑、深不可测。战斗方式：技能(舆论操纵、黑稿挖掘、应激反应洗白)，被动：负面状态时长减半,death_delivery,def_base,gold_rush
1014,米内瓦,大学副教授,SR,风,913,133,74,作为大学副教授，双手被厚重书本嵌死，常年带着酒瓶底眼镜。吸引点：清冷书卷气、传道时的光芒、冷门热情。战斗方式：投掷物(文字输出，飞出大量公式与定理砸向玩家)，被动：精神污染抗性升高,battle_frenzy,death_delivery,crit_dmg
1015,米兰达,时尚杂志主编,SR,光,1066,121,62,作为时尚杂志主编，极客墨镜，骨瘦如柴的模特衣架伴随左右。吸引点：锋利美感、对平庸的零容忍、强大气场。战斗方式：技能(趋势制造、品牌维护、视觉审美，利用闪光剥夺视野)，被动：魅力值增伤加成（需判定）,battle_frenzy,death_delivery,boss_killer
1016,弗里达,画家,SR,暗,1086,228,52,作为画家，画笔，颜料管，调色板（飞镖）。吸引点：生活美学、松弛社交感、独特坚持。战斗方式：投掷物(颜料攻击，甩出颜料到玩家画面上，下回合命中率-50%)，被动：受击产生隐身墨迹,boss_killer,def_base,dodge_rate
